Symbol,Stock Name,Median Target,High Estimate,Low Estimate,Median Estimate,Last Price,Analyst Count
NAVI, navient,17,20,14,-6.18%,18.12.,10
NB, 89bio,8,8,8,+187.36%,3.05.,1
NBHC, national-bank-holdings,41,45,38,+13.95%,35.98.,5
NBIX, neurocrine-biosciences,150,170,100,+5.51%,142.16.,29
NBN, northeast-bank,66,66,66,+18.34%,55.77.,1
NBR, nabors-industries,115,160,88,+31.56%,87.41.,12
NBTB, nbt-bancorp,41,46,39,+12.28%,36.96.,6
NC, nacco-industries,38,38,38,+7.24%,36.17.,1
NCLH, norwegian-cruise-line,18,25,14,+4.53%,17.22.,20
NCNO, ncino,35,42,24,+10.94%,31.55.,17
NCPL, netcapital,0,0,0,+252.94%,0.17.,1
NCR, ncr-corporation,20,23,14,+28.62%,15.55.,8
NCSM, ncs-multistage,34,34,34,+116.56%,15.70.,1
NDAQ, nasdaq,61,82,54,+4.91%,58.62.,17
NDLS, noodles-company,4,5,4,+75.28%,2.71.,4
NDRA, chandra-asri-petrochemical,11,11,11,+967.96%,1.03.,1
NDSN, nordson,275,300,245,+9.46%,252.13.,12
NE, noble-corp,60,70,52,+33.78%,44.85.,14
NEE, nextera-energy,70,84,46,+20.55%,58.48.,22
NEGG, newegg,3,3,3,+270.37%,0.81.,1
NEM, newmont,49,59,39,+45.28%,34.21.,23
NEO, neogenomics,19,26,17,+21.68%,15.62.,13
NEOG, neogen,19,19,19,+17.76%,16.14.,2
NEON, infineon,4,4,4,+143.90%,1.85.,1
NEOV, neovolta,5,5,5,+231.13%,1.51.,1
NEP, nextera-energy-partners,33,50,15,+14.54%,28.81.,15
NEPH, smith-and-nephew,4,4,4,+25.70%,3.58.,2
NERV, minerva-neurosciences,11,11,11,+35.64%,8.11.,1
NET, cloudflare,78,110,45,-2.66%,80.13.,34
NEU, newmarket,450,450,450,-19.52%,559.17.,1
NEWP, new-pacific-metals,3,3,3,+175.56%,1.35.,2
NEWT, newtek,15,19,13,+19.14%,13.01.,6
NEXA, nexa-resources,6,8,4,-14.04%,6.98.,7
NEXT, nextdecade,8,9,7,+63.27%,4.90.,3
NFBK, northfield-bancorp,12,13,12,-9.77%,13.30.,3
NFE, new-fortress-energy,45,60,32,+35.38%,33.24.,10
NFG, national-fuel-gas,57,67,54,+19.75%,47.60.,6
NFGC, new-found-gold,6,8,6,+117.27%,3.14.,4
NFLX, netflix,576,700,335,+1.09%,570.33.,51
NG, novagold,6,10,5,+140.33%,2.84.,3
NGD, new-gold,1,2,1,+32.43%,1.24.,11
NGG, national-grid,74,82,60,+10.78%,67.22.,15
NGL, ngl-energy-partners,5,5,5,-13.72%,5.80.,2
NGM, ngm-bio,4,6,3,+169.36%,1.49.,5
NGMS, neogames,29,30,29,+5.17%,28.05.,5
NGS, acushnet,23,26,18,+48.20%,15.52.,3
NGVT, ingevity,48,91,43,+4.55%,45.91.,7
NHC, national-healthcare,47,47,47,-51.83%,97.58.,1
NHI, national-health-investors,55,60,54,+0.79%,54.57.,6
NI, nisource,29,32,27,+12.27%,25.83.,14
NIC, nicolet-bankshares,85,95,85,+5.08%,80.89.,5
NICE, nice,244,343,190,+14.25%,214.00.,15
NICK, nornickel,7,7,7,+1.79%,7.15.,1
NINE, nine-energy-service,4,6,3,+74.08%,2.59.,2
NIO, nio,9,15,5,+53.93%,6.14.,34
NIU, niu,2,2,2,+24.34%,1.93.,1
NJR, new-jersey-resources,45,57,43,+9.53%,41.54.,8
NKE, nike,124,150,88,+21.18%,102.74.,38
NKLA, nikola-motor-company,2,3,1,+183.77%,0.70.,7
NKSH, atlantic-union-bankshares,32,32,32,+0.79%,31.75.,1
NKTR, nektar-therapeutics,2,5,0,+436.38%,0.51.,6
NKTX, nkarta,14,22,9,+53.01%,9.15.,8
NL, nl-industries,5,5,5,-6.54%,5.35.,1
NLS, nautilus,1,2,0,+103.35%,0.63.,2
NLY, annaly-capital-management,20,22,16,+5.81%,19.61.,11
NMG, nouveau-monde-graphite,5,8,4,+136.97%,2.11.,3
NMIH, nmi-holdings,34,40,31,+7.97%,31.49.,11
NMM, navios-maritime-partners,40,45,25,+38.26%,28.93.,3
NMR, nomura-holdings,4,5,3,-14.98%,5.08.,6
NMRK, newmark,12,13,11,+15.44%,10.40.,4
NN, nextnav,12,12,12,+220.00%,3.75.,2
NNBR, nn,4,5,4,+2.97%,4.37.,1
NNDM, nano-dimension,10,10,10,+322.83%,2.37.,1
NNI, nelnet,90,90,90,+2.10%,88.15.,1
NNN, nnn,42,48,37,+3.89%,41.15.,14
NNOX, nano-x-imaging,18,22,14,+215.51%,5.71.,3
NNVC, nanoviricides,6,6,6,+496.33%,1.09.,1
