Symbol,name
NAVI, navient
NA, nano-labs
NAZ, nazara-technologies
NB, 89bio
NBH, national-bank-holdings
NBHC, national-bank-holdings
NBIX, neurocrine-biosciences
NBN, northeast-bank
NBO, african-rainbow-minerals
NBR, nabors-industries
NBRV, nabriva-therapeutics
NBTB, nbt-bancorp
NBW, enbw-energie
NC, nacco-industries
NCA, avianca
NCLH, norwegian-cruise-line
NCNA, nucana
NCNO, ncino
NCPL, netcapital
NCR, ncr-corporation
NCSM, ncs-multistage
NCTY, the9
NDAQ, nasdaq
NDLS, noodles-company
NDP, endo-international
NDRA, chandra-asri-petrochemical
NDSN, nordson
NE, noble-corp
NEA, amneal-pharmaceuticals
NEE, nextera-energy
NEGG, newegg
NEM, newmont
NEN, arca-continental
NEO, neogenomics
NEOG, neogen
NEON, infineon
NEOV, neovolta
NEP, nextera-energy-partners
NEPH, smith-and-nephew
NEPT, neptune-wellness-solutions
NERV, minerva-neurosciences
NET, cloudflare
NETC, netcapital
NETI, eneti
NEU, newmarket
NEWP, new-pacific-metals
NEWR, new-relic
NEWT, newtek
NEX, nextier-oilfield
NEXA, nexa-resources
NEXI, nexi
NEXT, nextdecade
NFBK, northfield-bancorp
NFE, new-fortress-energy
NFG, national-fuel-gas
NFGC, new-found-gold
NFLX, netflix
NFTG, the-nft-gaming-ompany
NG, novagold
NGD, new-gold
NGG, national-grid
NGL, ngl-energy-partners
NGM, ngm-bio
NGMS, neogames
NGS, acushnet
NGVT, ingevity
NHC, national-healthcare
NHI, national-health-investors
NHTC, natural-health-trends
NI, nisource
NIC, nicolet-bankshares
NICE, nice
NICK, nornickel
NIE, adani-enterprises
NIM, cofinimmo
NINE, nine-energy-service
NIO, nio
NIU, niu
NJR, new-jersey-resources
NKE, nike
NKLA, nikola-motor-company
NKSH, atlantic-union-bankshares
NKTR, nektar-therapeutics
NKTX, nkarta
NL, nl-industries
NLS, nautilus
NLY, annaly-capital-management
NM, navios-maritime-holdings
NMG, nouveau-monde-graphite
NMI, hanmi-financial
NMIH, nmi-holdings
NMM, navios-maritime-partners
NMR, nomura-holdings
NMRK, newmark
NN, nextnav
NNBR, nn
NNDM, nano-dimension
NNI, nelnet
NNN, nnn
NNOX, nano-x-imaging
NNVC, nanoviricides
