Symbol,Stock Name,Median Target,High Estimate,Low Estimate,Median Estimate,Last Price,Analyst Count,Intrinsic Value,Previous Close,Discounted EBIT,Terminal Value,Enterprise Value,WACC,Len EBIT Available,FCF Year 1,FCF Year 2,FCF Year 3,FCF Year 4,FCF Year 5
NAVI, navient,17,20,14,-2.75%,17.48.,10,,,,,,,,,,,,
NB, 89bio,8,8,8,+190.22%,3.02.,1,,,,,,,,,,,,
NBHC, national-bank-holdings,40,45,40,+12.52%,35.55.,5,,,,,,,,,,,,
NBIX, neurocrine-biosciences,141,170,100,+0.41%,140.42.,29,144.944,142.14999389648438,"[207939576, 221125484, 235147539, 229780307, 265915542]",(14586461047.746346+0j),13150000000.0,0.05780114742910389,5.0,207939576.0,221125484.0,235147539.0,229780307.0,(14586461047.746346+0j)
NBN, northeast-bank,66,66,66,+22.27%,53.98.,1,,,,,,,,,,,,
NBR, nabors-industries,115,160,88,+44.31%,79.69.,12,36.714,87.41999816894531,"[-381084680, -394230434, -407829661, 381906105, 436451638]",(8017119213.414011+0j),2930000000.0,0.03950000000000001,5.0,-381084680.0,-394230434.0,-407829661.0,381906105.0,(8017119213.414011+0j)
NBTB, nbt-bancorp,43,46,34,+10.88%,39.23.,6,,,,,,,,,,,,
NC, nacco-industries,38,38,38,+5.59%,36.74.,1,592.179,36.5,"[76385458, 90726059, 107758962, 103664225, 152018383]",(4671124936.708859+0j),4379119762.0,0.03950000000000001,5.0,76385458.0,90726059.0,107758962.0,103664225.0,(4671124936.708859+0j)
NCLH, norwegian-cruise-line,18,25,14,+3.39%,17.41.,19,16.37,17.219999313354492,"[-16056638258, -23480185842, -34335900098, 37847514735, 73424711731]",(-14857964242.697039+116345841677.604j),20520000000.0,0.06566584713302402,5.0,-16056638258.0,-23480185842.0,-34335900098.0,37847514735.0,(-14857964242.697039+116345841677.604j)
NCNO, ncino,35,42,24,+6.03%,33.01.,17,30.814,31.520000457763672,"[-108996230, -130462703, -156156932, -186911561, -190208403]",(-23940724375.562725+0j),3530000000.0,0.09537453663079586,6.0,-108996230.0,-130462703.0,-156156932.0,-186911561.0,(-23940724375.562725+0j)
NCPL, netcapital,0,0,0,+208.48%,0.19.,1,,,,,,,,,,,,
NCR, ncr-corporation,20,23,14,+28.87%,15.52.,8,,,,,,,,,,,,
NCSM, ncs-multistage,34,34,34,+128.34%,14.89.,1,-146.355,16.030000686645508,"[-25014048, -27266474, 29721723, -32843958, 35315388]",(-392527744.5906929+0j),-343493233.0,0.03950000000000001,5.0,-25014048.0,-27266474.0,29721723.0,-32843958.0,(-392527744.5906929+0j)
NDAQ, nasdaq,61,82,54,+4.48%,58.39.,17,73.913,58.619998931884766,"[1544560623, 1496127429, 1449212968, 1368092563, 1359751244]",(31592877035.281948+0j),38320000000.0,0.06790323799642516,5.0,1544560623.0,1496127429.0,1449212968.0,1368092563.0,(31592877035.281948+0j)
NDLS, noodles-company,4,5,4,+80.61%,2.63.,4,3.555,2.7100000381469727,"[-7169723, 7516489, -7880026, 7726481, 8660699]",(518967953.7409992+0j),436434599.0,0.03950000000000001,5.0,-7169723.0,7516489.0,-7880026.0,7726481.0,(518967953.7409992+0j)
NDRA, chandra-asri-petrochemical,11,11,11,+978.43%,1.02.,1,,,,,,,,,,,,
NDSN, nordson,275,300,245,+8.47%,254.43.,11,145.752,252.1999969482422,"[598979409, 588817635, 578828258, 569008352, 543264197]",(17310622952.471077+0j),16150000000.0,0.07330522981190037,6.0,598979409.0,588817635.0,578828258.0,569008352.0,(17310622952.471077+0j)
NE, noble-corp,60,70,52,+34.50%,44.61.,14,,,,,,,,,,,,
NEE, nextera-energy,70,84,46,+22.89%,57.37.,22,64.531,58.47999954223633,"[4957849622, 4930986917, 4904269761, 4709600455, 4851268943]",(153008157413.00003+0j),190500000000.0,0.05778058285231026,5.0,4957849622.0,4930986917.0,4904269761.0,4709600455.0,(153008157413.00003+0j)
NEGG, newegg,3,3,3,+258.08%,0.84.,1,-0.164,0.8100000023841858,"[2012938, 1807633, -1623268, -1561585, 1309032]",(40223113.92405063+0j),35084804.0,0.03950000000000001,5.0,2012938.0,1807633.0,-1623268.0,-1561585.0,(40223113.92405063+0j)
NEM, newmont,49,59,39,+40.59%,35.35.,23,49.284,34.209999084472656,"[1610015295, 1524866896, 1444221714, -1351655345, 1295500959]",(26344502275.006626+0j),42300000000.0,0.06848370727093367,5.0,1610015295.0,1524866896.0,1444221714.0,-1351655345.0,(26344502275.006626+0j)
NEO, neogenomics,19,26,17,+18.97%,15.97.,13,12.442,15.609999656677246,"[-56401391, -54093380, -51879816, -28239689, 47720726]",(148591901.45922822+0j),2190000000.0,0.09140231227576108,5.0,-56401391.0,-54093380.0,-51879816.0,-28239689.0,(148591901.45922822+0j)
NEOG, neogen,19,19,19,+13.26%,16.77.,2,15.097,16.139999389648438,"[108442879, 119679008, 132079349, 145764531, 138454978]",(5036813648.241692+0j),4150000000.0,0.0730546036181717,6.0,108442879.0,119679008.0,132079349.0,145764531.0,(5036813648.241692+0j)
NEON, infineon,4,4,4,+127.27%,1.98.,1,131.581,1.8200000524520874,"[-5688666, -5375057, -5078738, -5067194, 4534205]",(2329233996.088539+0j),1902393823.0,0.03950000000000001,5.0,-5688666.0,-5375057.0,-5078738.0,-5067194.0,(2329233996.088539+0j)
NEOV, neovolta,5,5,5,+192.40%,1.71.,1,,,,,,,,,,,,
NEP, nextera-energy-partners,33,50,15,+18.53%,27.84.,15,39.561,28.809999465942383,"[323216646, 335153111, 347530393, 324490496, 373673123]",(7063811088.285442+0j),8710000000.0,0.05805619249609907,5.0,323216646.0,335153111.0,347530393.0,324490496.0,(7063811088.285442+0j)
NEPH, smith-and-nephew,4,4,4,+26.05%,3.57.,2,9.241,3.5799999237060547,"[-4076292, -4126389, -4177103, -4018377, 4280408]",(131525696.20253162+0j),96247023.0,0.03950000000000001,5.0,-4076292.0,-4126389.0,-4177103.0,-4018377.0,(131525696.20253162+0j)
NERV, minerva-neurosciences,11,11,11,+42.86%,7.70.,1,,,,,,,,,,,,
NET, cloudflare,76,110,45,-9.47%,83.95.,33,81.079,80.18000030517578,"[-271924290, -313635973, -361745995, -350076153, 481237498]",(25035352894.89253+0j),26770000000.0,0.1381876816652079,5.0,-271924290.0,-313635973.0,-361745995.0,-350076153.0,(25035352894.89253+0j)
NEU, newmarket,450,450,450,-23.95%,591.74.,1,517.552,559.7100219726562,"[422217144, 443723322, 466324945, 447321098, 515040561]",(15839380125.776558+0j),6110000000.0,0.05806514006873214,5.0,422217144.0,443723322.0,466324945.0,447321098.0,(15839380125.776558+0j)
NEWP, new-pacific-metals,3,3,3,+152.49%,1.48.,1,,,,,,,,,,,,
NEWT, newtek,15,19,13,+19.41%,12.98.,6,,,,,,,,,,,,
NEXA, nexa-resources,6,8,4,-12.54%,6.86.,7,3.743,7.0,"[-6251354, 6967450, 7765575, -6268559, 9646573]",(58427665.86032959+0j),2170000000.0,0.03950000000000001,5.0,-6251354.0,6967450.0,7765575.0,-6268559.0,(58427665.86032959+0j)
NEXT, nextdecade,8,9,7,+69.67%,4.72.,3,,,,,,,,,,,,
NFBK, northfield-bancorp,12,13,11,-5.29%,12.67.,3,,,,,,,,,,,,
