Product Name,Product Price,Product Rating,Number of Reviews,Product Units Sold,Product Category,Product URL,Product Image URL
The On-board Vacuum Cleaner Ultra-powerful High-suction Car Multi-scene Uses The Small Mini Hand-held Multi-functional Portable,11.69,4.5,30576,100K+,Car Interior Care,https://www.temu.com/car-mounted-vacuum-cleaner-super-strong-high-power-high-suction-dry-and-wet-dual-purpose-sedan-small-mini-handheld-multifunctional-portable-g-601099517371076.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/ea827e1382b843c50594074b25a8b4b3.jpg?imageView2/2/w/500/q/80/format/webp
"Winter Snow Boots, Women's Ankle Boots, Women Boots, Non Slip Warm Plush Shoes",10.99,4.7,76699,68K+,Women's Fashion Sneakers,https://www.temu.com/winter-snow-boots-womens-ankle-boots-women-cotton-boots-non-slip-warm-plush-shoes-g-601099512416757.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/e47d6545d8f1cfc990d317e543ce7a16.jpg?imageView2/2/w/500/q/80/format/webp
"Plus Size Casual Outfits Set, Women's Plus Solid Long Sleeve Hooded Zipper Coat & Drawstring Pants Outfits Two Piece Set",19.19,4.7,27724,44K+,Curve Two Pieces Set,https://www.temu.com/plus-size-casual-outfits-set-womens-plus-solid-long-sleeve-hooded-zipper-coat-drawstring-pants-outfits-two-piece-set-g-601099519151505.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/75df76cffa42ef3a98975211e1df5fcf.jpg?imageView2/2/w/500/q/80/format/webp
"1PC 5000/10000mAh Mobile Power Bank, 22.5W/PD20W Super Fast Charge, Magnetic Wireless Charging Bank, Portable Mobile Phone Charger For IPhone14/13/12 Device/Android (USB, Type-c), With LED Power Display, Outdoor Emergency Power Backup Battery Pack",15.82,4.5,8260,67K+,Power Banks,https://www.temu.com/1pc-5000-10000mah-mobile-power-bank-22-5w-pd20w-super-fast-charge-magnetic-suction-wireless-charging-bank-portable-phone-charger-suitable-for-android--devices-usb-type-c-led-power-display-g-601099517258280.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/9d3837d0e1c61d6d62ad2d63bba8c264.jpg?imageView2/2/w/500/q/80/format/webp
"New Men's Fashion Casual Windbreaker Bomber Jacket, Spring Outdoor Waterproof Sports Jacket",23.55,4.7,11823,61K+,Men's Jackets &Coats,https://www.temu.com/new-mens-fashion-casual-windbreaker-bomber-jacket-spring-outdoor-waterproof-sports-jacket-g-601099511893834.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/62c2cea7133af9ff056d52cefbbe2082.jpg?imageView2/2/w/500/q/80/format/webp
"15W Fast Wireless Charging Station: Compatible With IPhone, Samsung, Xiaomi, Vivo & Airpods!",9.47,4.6,10481,100K+,Wireless Chargers,https://www.temu.com/15w-wireless-fast-charger-station-for-iphone-6-7-8-x-xs-xr-11-12-13-14-pro-max--samsung-xiaomi-vivo-wireless-charger-phone-g-601099514589250.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/743e3474e1e00da2eb76f12e6c0bbfee.jpg?imageView2/2/w/500/q/80/format/webp
"E99 Pro Drone With HD Camera, WiFi FPV HD Dual Foldable RC Quadcopter Altitude Hold, Remote Control Toys For Beginners Children Men's Gifts Indoor And Outdoor Affordable UAV",20.47,4.5,7179,81K+,Drones & Flying toys,https://www.temu.com/e99-pro-drone-with-hd-camera-wifi-fpv-hd-dual-foldable-rc-quadcopter-altitude-hold-remote-control-toys-for-beginners-children-mens-gifts-indoor-and-outdoor-affordable-uav-g-601099517961544.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/7939b6eefb3917d30873f1392cbce101.jpg?imageView2/2/w/500/q/80/format/webp
"5 Pack Seamless Super Soft Leggings For Women, High Waisted Tummy Control No See Through Workout Yoga Running Tight Pants, Women's Activewear",26.47,4.8,6165,22K+,Women's Yoga Apparel,https://www.temu.com/5-pack-seamless-super-soft-leggings-for-women-high-waisted-tummy-control-no-see-through-workout-yoga-running-tight-pants-womens-activewear-g-601099519590198.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/e7f7c63634693cec30831a2d8464ea84.jpg?imageView2/2/w/500/q/80/format/webp
"Stripe Splicing Button Decor Hoodie, Casual Long Sleeve Hoodie, Women's Clothing",12.59,4.7,8221,25K+,Women's Sweatshirts,https://www.temu.com/stripe-splicing-button-decor-hoodie-casual-long-sleeve-hoodie-womens-clothing-g-601099521157846.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/24b5b00c571606c0ccf25c6047f1149e.jpg?imageView2/2/w/500/q/80/format/webp
"1pc Massage Gun, Deep Tissue Muscle Handheld Percussion Massager For Body, Back And Neck Pain, Ultra Compact Elegant Design, Powered By High Torque, Father's Day Gift For Dad",14.49,4.8,11498,100K+,Salon & Massage Equipment,https://www.temu.com/1pc-massage-gun-deep-tissue-muscle-handheld-percussion-massager-for-body-back-and-neck-pain-ultra-compact-elegant-design-powered-by-high-torque-fathers-day-gift-for-dad-g-601099518026201.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/32f194a5b9aa239f92d7f9953d2c6755.jpg?imageView2/2/w/500/q/80/format/webp
