Home Team,Away Team,Match Score,Goal Time,Goal Score
Arsenal,Wolves,"5
-
0",11',1 - 0
Arsenal,Wolves,"5
-
0",14',2 - 0
Arsenal,Wolves,"5
-
0",27',3 - 0
Arsenal,Wolves,"5
-
0",58',4 - 0
Arsenal,Wolves,"5
-
0",78',5 - 0
Aston Villa,Brighton,"2
-
1",8',1 - 0
Aston Villa,Brighton,"2
-
1",26',2 - 0
Aston Villa,Brighton,"2
-
1",38',2 - 1
Brentford,Man City,"1
-
0",85',1 - 0
Chelsea,Newcastle,"1
-
1",9',0 - 1
Chelsea,Newcastle,"1
-
1",27',1 - 1
Crystal Palace,Nottm Forest,"1
-
1",31',0 - 1
Crystal Palace,Nottm Forest,"1
-
1",66',1 - 1
Everton,Bournemouth,"1
-
0",57',1 - 0
Leeds,Tottenham,"1
-
4",2',0 - 1
Leeds,Tottenham,"1
-
4",47',0 - 2
Leeds,Tottenham,"1
-
4",67',1 - 2
Leeds,Tottenham,"1
-
4",69',1 - 3
Leeds,Tottenham,"1
-
4",90+5',1 - 4
Leicester,West Ham,"2
-
1",34',1 - 0
Leicester,West Ham,"2
-
1",62',2 - 0
Leicester,West Ham,"2
-
1",79',2 - 1
Man Utd,Fulham,"2
-
1",19',0 - 1
Man Utd,Fulham,"2
-
1",39',1 - 1
Man Utd,Fulham,"2
-
1",55',2 - 1
Southampton,Liverpool,"4
-
4",10',0 - 1
Southampton,Liverpool,"4
-
4",14',0 - 2
Southampton,Liverpool,"4
-
4",19',1 - 2
Southampton,Liverpool,"4
-
4",28',2 - 2
Southampton,Liverpool,"4
-
4",48',3 - 2
Southampton,Liverpool,"4
-
4",64',4 - 2
Southampton,Liverpool,"4
-
4",72',4 - 3
Southampton,Liverpool,"4
-
4",73',4 - 4
Man Utd,Chelsea,"4
-
1",6',1 - 0
Man Utd,Chelsea,"4
-
1",45+6',2 - 0
Man Utd,Chelsea,"4
-
1",73',3 - 0
Man Utd,Chelsea,"4
-
1",78',4 - 0
Man Utd,Chelsea,"4
-
1",89',4 - 1
Brighton,Man City,"1
-
1",25',0 - 1
Brighton,Man City,"1
-
1",38',1 - 1
Man City,Chelsea,"1
-
0",12',1 - 0
Brighton,Southampton,"3
-
1",29',1 - 0
Brighton,Southampton,"3
-
1",40',2 - 0
Brighton,Southampton,"3
-
1",58',2 - 1
Brighton,Southampton,"3
-
1",69',3 - 1
West Ham,Leeds,"3
-
1",17',0 - 1
West Ham,Leeds,"3
-
1",32',1 - 1
West Ham,Leeds,"3
-
1",72',2 - 1
West Ham,Leeds,"3
-
1",90+4',3 - 1
Nottm Forest,Arsenal,"1
-
0",19',1 - 0
Bournemouth,Man Utd,"0
-
1",9',0 - 1
Fulham,Crystal Palace,"2
-
2",34',0 - 1
Fulham,Crystal Palace,"2
-
2",45+5',1 - 1
Fulham,Crystal Palace,"2
-
2",61',2 - 1
Fulham,Crystal Palace,"2
-
2",83',2 - 2
Liverpool,Aston Villa,"1
-
1",27',0 - 1
