Symbol,Stock Name,Median Target,High Estimate,Low Estimate,Median Estimate,Last Price,Analyst Count
NAVI, navient,17,20,14,-2.75%,17.48.,10
NB, 89bio,8,8,8,+190.22%,3.02.,1
NBHC, national-bank-holdings,40,45,40,+12.52%,35.55.,5
NBIX, neurocrine-biosciences,141,170,100,+0.41%,140.42.,29
NBN, northeast-bank,66,66,66,+22.27%,53.98.,1
NBR, nabors-industries,115,160,88,+44.31%,79.69.,12
NBTB, nbt-bancorp,43,46,34,+10.88%,39.23.,6
NC, nacco-industries,38,38,38,+5.59%,36.74.,1
NCLH, norwegian-cruise-line,18,25,14,+3.39%,17.41.,19
NCNO, ncino,35,42,24,+6.03%,33.01.,17
NCPL, netcapital,0,0,0,+208.48%,0.19.,1
NCR, ncr-corporation,20,23,14,+28.87%,15.52.,8
NCSM, ncs-multistage,34,34,34,+128.34%,14.89.,1
NDAQ, nasdaq,61,82,54,+4.48%,58.39.,17
NDLS, noodles-company,4,5,4,+80.61%,2.63.,4
NDRA, chandra-asri-petrochemical,11,11,11,+978.43%,1.02.,1
NDSN, nordson,275,300,245,+8.47%,254.43.,11
NE, noble-corp,60,70,52,+34.50%,44.61.,14
NEE, nextera-energy,70,84,46,+22.89%,57.37.,22
NEGG, newegg,3,3,3,+258.08%,0.84.,1
NEM, newmont,49,59,39,+40.59%,35.35.,23
NEO, neogenomics,19,26,17,+18.97%,15.97.,13
NEOG, neogen,19,19,19,+13.26%,16.77.,2
NEON, infineon,4,4,4,+127.27%,1.98.,1
NEOV, neovolta,5,5,5,+192.40%,1.71.,1
NEP, nextera-energy-partners,33,50,15,+18.53%,27.84.,15
NEPH, smith-and-nephew,4,4,4,+26.05%,3.57.,2
NERV, minerva-neurosciences,11,11,11,+42.86%,7.70.,1
NET, cloudflare,76,110,45,-9.47%,83.95.,33
NEU, newmarket,450,450,450,-23.95%,591.74.,1
NEWP, new-pacific-metals,3,3,3,+152.49%,1.48.,1
NEWT, newtek,15,19,13,+19.41%,12.98.,6
NEXA, nexa-resources,6,8,4,-12.54%,6.86.,7
NEXT, nextdecade,8,9,7,+69.67%,4.72.,3
NFBK, northfield-bancorp,12,13,11,-5.29%,12.67.,3
NFE, new-fortress-energy,44,60,32,+33.31%,33.38.,11
NFG, national-fuel-gas,57,67,54,+20.00%,47.50.,6
NFGC, new-found-gold,6,8,6,+115.89%,3.16.,4
NFLX, netflix,500,600,335,+1.81%,491.09.,50
NG, novagold,6,10,5,+96.13%,3.48.,3
NGD, new-gold,1,2,1,+28.28%,1.27.,11
NGG, national-grid,74,82,60,+11.56%,66.69.,16
NGL, ngl-energy-partners,5,5,5,-3.29%,5.17.,2
NGM, ngm-bio,4,6,3,+212.50%,1.28.,5
NGMS, neogames,29,30,29,+4.87%,28.13.,5
NGS, acushnet,23,26,18,+53.95%,14.94.,3
NGVT, ingevity,48,91,43,+8.62%,44.19.,7
NHC, national-healthcare,47,47,47,-52.00%,97.92.,1
NHI, national-health-investors,55,60,54,-0.54%,55.30.,6
NI, nisource,29,32,27,+12.88%,25.69.,14
NIC, nicolet-bankshares,85,95,85,+4.08%,81.67.,5
NICE, nice,244,343,190,+12.93%,216.50.,15
NICK, nornickel,7,7,7,+3.90%,7.00.,1
NINE, nine-energy-service,4,6,3,+94.81%,2.31.,2
NIO, nio,9,15,4,+56.75%,6.21.,35
NIU, niu,2,2,2,+26.70%,1.89.,1
NJR, new-jersey-resources,45,57,43,+7.39%,42.37.,8
NKE, nike,124,150,88,+22.19%,101.89.,38
NKLA, nikola-motor-company,2,3,1,+207.64%,0.65.,6
NKSH, atlantic-union-bankshares,26,26,26,-17.68%,32.19.,1
NKTR, nektar-therapeutics,2,5,0,+437.21%,0.51.,6
NKTX, nkarta,15,25,9,+89.39%,7.92.,9
NL, nl-industries,5,5,5,-3.10%,5.16.,1
NLS, nautilus,1,2,0,+105.65%,0.62.,2
NLY, annaly-capital-management,20,22,16,+7.01%,19.39.,11
NMG, nouveau-monde-graphite,5,8,5,+140.91%,2.20.,3
NMIH, nmi-holdings,34,40,31,+12.92%,30.11.,11
NMM, navios-maritime-partners,40,45,25,+38.22%,28.94.,3
NMR, nomura-holdings,4,5,3,-14.45%,4.99.,6
NMRK, newmark,12,13,11,+17.24%,10.24.,4
NN, nextnav,12,12,12,+211.28%,3.86.,2
NNBR, nn,4,5,4,+7.91%,4.17.,1
NNDM, nano-dimension,10,10,10,+326.44%,2.35.,1
NNI, nelnet,90,90,90,+4.38%,86.22.,1
NNN, nnn,42,48,37,+2.72%,41.62.,15
NNOX, nano-x-imaging,18,22,14,+218.87%,5.65.,3
NNVC, nanoviricides,6,6,6,+519.05%,1.05.,1
